filename,gt_shape,gt_dtype,gt_min,gt_max,gt_mean,gt_std,gt_error,lr_shape,lr_dtype,lr_min,lr_max,lr_mean,lr_std,lr_error
000080.npy,"(256, 256)",float32,0.0,1.0,0.6011473233221865,0.15880944032923502,,"(128, 128)",float32,-0.0501558892428875,1.2061935663223267,0.6009650569628366,0.1836416824956074,
000081.npy,"(256, 256)",float32,0.0,1.0,0.22418439127682172,0.22569044074292333,,"(128, 128)",float32,-0.01933445781469345,1.3386154174804688,0.22493791207930708,0.23129242444593248,
000082.npy,"(256, 256)",float32,0.0,1.0,0.2177221993972664,0.23440080491728196,,"(128, 128)",float32,-0.04640207812190056,1.40862238407135,0.21851284889121714,0.23996206613891707,
000083.npy,"(256, 256)",float32,0.0,1.0,0.21129214258775214,0.2336908350641545,,"(128, 128)",float32,-0.026192519813776016,1.5474207401275635,0.2119430976594905,0.23996169868507825,
000084.npy,"(256, 256)",float32,0.0,1.0,0.3185747642427257,0.15700273666720083,,"(128, 128)",float32,-0.0066164471209049225,1.3438756465911865,0.3182244644043877,0.16527411995732355,
000085.npy,"(256, 256)",float32,0.0,1.0,0.6014708845722936,0.26942144258263234,,"(128, 128)",float32,0.012777344323694706,1.544702410697937,0.6013044201227444,0.2936463013288936,
000086.npy,"(256, 256)",float32,0.0,1.0,0.5367860824234318,0.285385975784634,,"(128, 128)",float32,-0.04951032996177673,1.4198482036590576,0.5360443159126476,0.29736336251481066,
000087.npy,"(256, 256)",float32,0.0,1.0,0.5743809925260734,0.2784557864332551,,"(128, 128)",float32,0.0019377556163817644,1.508067011833191,0.5740083699633516,0.2912624221261202,
000088.npy,"(256, 256)",float32,0.0,1.0,0.5806182438674568,0.34501220675243616,,"(128, 128)",float32,0.0034634529147297144,1.5404222011566162,0.5799048881123952,0.36468289899664674,
000089.npy,"(256, 256)",float32,0.0,1.0,0.46635713357781583,0.163258415171136,,"(128, 128)",float32,0.0033185724169015884,1.4268269538879395,0.46695597149061996,0.187496216080145,
